retailer_key,july_name,july_value,august_raw_dealer_id,august_name,august_value,august_as_pct_of_july,ratio
RET#43750,J.N.HARDWARE,3155,RET#43750,J.N.HARDWARE,13144,416.61,4.1661
RET#58945,Sidhi vinayak hardware sanitary,3067,RET#58945,SIDHI VINAYAK HARDWARE SANITARY,11676,380.70,3.8070
RET#88615,Ramdev Sanitary,3062,RET#88615,RAMDEV SANITARY,4418,144.28,1.4428
RET#88493,Grace traders,2937,RET#88493,GRACE TRADERS,4108,139.87,1.3987
RET#25777,Jai Maa Bhagwati,2804,RET#25777,JAI MAA BHAGWATI,2525,90.05,0.9005
RET#92446,Hanuman Hardware,2702,RET#92446,HANUMAN HARDWARE,2647,97.96,0.9796
RET#90093,DEVIKRUPA SANITARY AND BUILDING MATERIALS,2496,RET#90093,DEVIKRUPA SANITARY AND BUILDING MATERIALS,5249,210.30,2.1030
RET#15839,Giriraj Home Decor,2479,RET#15839,GIRIRAJ HOME DECOR,3186,128.52,1.2852
RET#23416,Sri Vishwakarma Electricals,2442,RET#23416,SRI VISHWAKARMA ELECTRICALS,2386,97.71,0.9771
RET#86469,SSS ELECTRICALS & PLUMBING,2400,RET#86469,SSS ELECTRICALS & PLUMBING,2398,99.92,0.9992
RET#13081,Shree Ji Sanitary Store,2156,RET#13081,SHREE JI SANITARY STORE,13760,638.22,6.3822
RET#86822,NEW DHARAMRAJ PAINTS & ELECTRIC HARDWARE,2143,RET#86822,NEW DHARAMRAJ PAINTS & ELECTRIC HARDWARE,8473,395.38,3.9538
RET#72576,Nattakal Traders,2028,RET#72576,NATTAKAL TRADERS,42394,2090.43,20.9043
RET#42981,Ambica Hardware,1833,RET#42981,AMBICA HARDWARE,6890,375.89,3.7589
RET#33904,M I G TRADING,1554,RET#33904,M I G TRADING,11332,729.21,7.2921
RET#88384,Sri saraswathi traders,1254,RET#88384,SRI SARASWATHI TRADERS,11917,950.32,9.5032
RET#54325,Vishal Enterprises,1055,RET#54325,VISHAL ENTERPRISES,99237,9406.35,94.0635
RET#56211,Sri Krishna enterprises,975,RET#56211,SRI KRISHNA ENTERPRISES,4797,492.00,4.9200
RET#73408,Ambika Electricals & Hardwares,974,RET#73408,AMBIKA ELECTRICALS & HARDWARES,13983,1435.63,14.3563
